"","metabolite","date","treatment","nmol","replicate","pn_nm","pc_nm","cn_ratio","nm_metab_per_pc_nm"
"215","5-Oxoproline",2022-07-27,"ZH",0.860859782599341,"230616_Smp_27July-ZH_3",1181.178816,10188.12289,8.6253857180588,8.44964074240118e-05
"216","5-Oxoproline",2022-07-27,"ZL",0.352257482590809,"230616_Smp_27July-ZL_1",686.3991255,7511.747635,10.9437022221264,4.68942115346782e-05
"217","5-Oxoproline",2022-07-27,"ZL",0.916209539158775,"230616_Smp_27July-ZL_2",770.5393265,7771.73842,10.0861022308898,0.000117889909521527
"218","5-Oxoproline",2022-07-27,"ZL",1.32172961890909,"230616_Smp_27July-ZL_3",735.371196,8741.118965,11.886675753071,0.000151208286284786
"219","Propionylglycine",2022-07-27,"LH",0.0004293903807368,"230616_Smp_27July-LH_3",2662.613278,28495.09614,10.7019282054373,1.50689219866868e-08
"220","Propionylglycine",2022-07-27,"LL",0.00025795918175875,"230616_Smp_27July-LL_2",966.664390666667,9603.34338,9.93451654237205,2.6861393116066e-08
"221","Propionylglycine",2022-07-27,"RH",7.75490095569504e-05,"230616_Smp_27July-RH_2",2509.253898,31183.55714,12.4274220176981,2.48685578777272e-09
"222","Propionylglycine",2022-07-27,"RH",0.00032880144805061,"230616_Smp_27July-RH_3",1987.74662666667,22657.5995466667,11.3986356423415,1.45117512282532e-08
"223","Propionylglycine",2022-07-27,"RL",0.00141116475094063,"230616_Smp_27July-RL_1",1186.245581,11993.75234,10.1106824186349,1.17658320010019e-07
"224","Propionylglycine",2022-07-27,"ZF",0.00023909722984383,"230616_Smp_27July-ZF_2",662.2942942,7349.96006,11.0977251719769,3.25304121236041e-08
"225","Propionylglycine",2022-07-27,"ZL",0.00056138739527096,"230616_Smp_27July-ZL_1",686.3991255,7511.747635,10.9437022221264,7.47345920748521e-08
"226","Propionylglycine",2022-07-27,"ZL",0.00020454956144007,"230616_Smp_27July-ZL_2",770.5393265,7771.73842,10.0861022308898,2.63196662555802e-08
"227","Malic acid",2022-07-27,"C",0.0987019888655819,"230616_Smp_27July-C_1",1185.426254,11479.2730866667,9.68366699145729,8.5982786645459e-06
"228","Malic acid",2022-07-27,"C",0.0934857642309507,"230616_Smp_27July-C_2",873.6222439,10625.53868,12.1626237818371,8.79821409966866e-06
"229","Malic acid",2022-07-27,"C",0.0785754154316174,"230616_Smp_27July-C_3",517.7119853,5497.437682,10.618718202582,1.42930979806998e-05
"230","Malic acid",2022-07-27,"LH",0.11485285889713,"230616_Smp_27July-LH_1",2010.09345,20020.74554,9.96010684975865,5.73669240576792e-06
"231","Malic acid",2022-07-27,"LH",0.0862093245551037,"230616_Smp_27July-LH_2",2574.28402,28262.54342,10.9787976774995,3.05030312643757e-06
"232","Malic acid",2022-07-27,"LH",0.134994095340841,"230616_Smp_27July-LH_3",2662.613278,28495.09614,10.7019282054373,4.73745007483386e-06
"233","Malic acid",2022-07-27,"LL",0.0920314289609938,"230616_Smp_27July-LL_1",939.6974365,9737.048695,10.3618976883311,9.45167594861184e-06
"234","Malic acid",2022-07-27,"LL",0.144288750530315,"230616_Smp_27July-LL_2",966.664390666667,9603.34338,9.93451654237205,1.50248454960813e-05
"235","Malic acid",2022-07-27,"LL",0.158936179034871,"230616_Smp_27July-LL_3",1154.727914,10410.86432,9.01585922863557,1.52663769452401e-05
"236","Malic acid",2022-07-27,"RH",0.470780863614927,"230616_Smp_27July-RH_2",2509.253898,31183.55714,12.4274220176981,1.50970866313081e-05
"237","Malic acid",2022-07-27,"RH",0.0886990136997753,"230616_Smp_27July-RH_3",1987.74662666667,22657.5995466667,11.3986356423415,3.9147577622725e-06
"238","Malic acid",2022-07-27,"RL",0.277199502873276,"230616_Smp_27July-RL_1",1186.245581,11993.75234,10.1106824186349,2.31119915615396e-05
"239","Malic acid",2022-07-27,"RL",0.0624339285785169,"230616_Smp_27July-RL_2",1450.355648,18072.54212,12.460765843827,3.45462902584271e-06
"240","Malic acid",2022-07-27,"RL",0.203812430358475,"230616_Smp_27July-RL_3",2266.767342,21826.23696,9.62879451966271,9.33795554093879e-06
"241","Malic acid",2022-07-27,"ZF",0.0678855552567583,"230616_Smp_27July-ZF_1",719.3131445,7946.02717,11.0466870107363,8.54333288879986e-06
"242","Malic acid",2022-07-27,"ZF",0.092277639354906,"230616_Smp_27July-ZF_2",662.2942942,7349.96006,11.0977251719769,1.25548490878338e-05
"243","Malic acid",2022-07-27,"ZF",0.122694900500766,"230616_Smp_27July-ZF_3",533.518494,5329.35629,9.9890750741248,2.30224615927801e-05
"244","Malic acid",2022-07-27,"ZH",0.116015215670348,"230616_Smp_27July-ZH_2",1119.460044,13829.30202,12.3535467783073,8.3890868463619e-06
"245","Malic acid",2022-07-27,"ZH",0.163766555128636,"230616_Smp_27July-ZH_3",1181.178816,10188.12289,8.6253857180588,1.60742618534155e-05
"246","Malic acid",2022-07-27,"ZL",0.088224594075905,"230616_Smp_27July-ZL_1",686.3991255,7511.747635,10.9437022221264,1.17448825976041e-05
"247","Malic acid",2022-07-27,"ZL",0.123285074686896,"230616_Smp_27July-ZL_2",770.5393265,7771.73842,10.0861022308898,1.58632558154082e-05
"248","Malic acid",2022-07-27,"ZL",0.234967758356278,"230616_Smp_27July-ZL_3",735.371196,8741.118965,11.886675753071,2.68807413898728e-05
"249","Threonic acid",2022-07-27,"C",0.0502616484133424,"230616_Smp_27July-C_1",1185.426254,11479.2730866667,9.68366699145729,4.37846961509453e-06
"250","Threonic acid",2022-07-27,"C",0.043702122643354,"230616_Smp_27July-C_2",873.6222439,10625.53868,12.1626237818371,4.11293243189756e-06
"251","Threonic acid",2022-07-27,"C",0.0518525219337998,"230616_Smp_27July-C_3",517.7119853,5497.437682,10.618718202582,9.43212546157241e-06
